ticker,name,category,return_pct,momentum_score
466920,SOL 조선TOP3플러스,조선,161.65177493359093,4.164240774999194
139230,TIGER 200 중공업,산업인프라,147.63438695389573,3.8406469560132077
445150,KODEX 친환경조선해운액티브,조선,143.66526791478373,4.070895710779111
434730,HANARO 원자력iSelect,에너지,116.45257483656381,2.9232446863446406
414780,TIGER 차이나과창판STAR50(합성),중국(지수),115.72008113590262,1.3725448904290034
487240,KODEX AI전력핵심설비,AI,113.95265423242469,1.5282531842308515
475050,ACE KPOP포커스,소비재,112.54355400696863,2.6128714155264317
442320,RISE 글로벌원자력,에너지,109.38303341902315,2.0575405400468023
256750,KODEX 차이나심천ChiNext(합성),중(지수),100.44876589379209,0.6261201243035377
102970,KODEX 증권,금융,98.27131169173924,1.9594418355694425
419430,KODEX 차이나2차전지MSCI(합성),배터리,87.31117824773413,0.5607804496345311
473640,HANARO 글로벌금채굴기업,자원/광산,87.05089820359282,1.4608489110114347
473460,KODEX 미국서학개미,미국(지수),75.32871703104334,1.2620227120799055
456600,TIMEFOLIO 글로벌AI인공지능액티브,AI,72.51416795466254,1.3783795438959072
426030,TIMEFOLIO 미국나스닥100액티브,미국(지수),71.9633307868602,1.4661704613282474
372330,KODEX 차이나항셍테크,중국(지수),71.75288425753628,0.610108198420326
102960,KODEX 기계장비,산업인프라,71.11562454664151,1.9170888864100761
487230,KODEX 미국AI전력핵심인프라,AI,69.97792494481236,1.2772024795690051
475070,KoAct 글로벌친환경전력인프라액티브,친환경,60.436498723009045,1.6479302346281486
415920,PLUS 글로벌희토류&전략자원생산기업,자원/광산,56.25,1.5373819488914575
466940,TIGER 은행고배당플러스TOP10,고배당,53.16389654915405,1.5130718629040658
117680,KODEX 철강,자원/광산,50.989175065322875,0.5563800494878833
417450,RISE 글로벌수소경제,친환경,45.75363427697017,1.046276283578923
365000,TIGER 인터넷TOP10,소프트웨어,43.14145744029394,1.0426331588982913
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),배터리,42.66180492251594,0.19213025493845456
091160,KODEX 반도체,반도체,41.87464784064168,0.07046448795346476
245350,TIGER 유로스탁스배당30,유럽(지수),40.945809491753614,2.2016285226119447
289260,TIGER MSCI KOREA ESG리더스,한국(지수),40.64673157162726,0.457921402030972
413220,SOL 차이나태양광CSI(합성),친환경,40.51724137931034,-0.07019139128715624
463690,KODEX 미국S&P500커뮤니케이션,미국(지수),40.44095439444278,1.1466635749215428
426020,TIMEFOLIO 미국S&P500액티브,미국(지수),40.106502242152466,1.1654244641283609
381170,TIGER 미국테크TOP10 INDXX,미국(지수),39.25024826216485,1.082681299058327
069500,KODEX 200,한국(지수),38.71217075926037,0.9783487209061444
161510,PLUS 고배당주,고배당,38.62607980255039,1.8020300544682806
315930,KODEX Top5PlusTR,한국(지수),37.71561771561771,0.4951227006337257
245710,ACE 베트남VN30(합성),베트남(지수),37.12233779098564,1.8206459194113063
411860,KIWOOM 독일DAX,유럽(지수),36.86826843413422,1.7790828356041102
441800,TIMEFOLIO Korea플러스배당액티브,고배당,35.67520418682102,0.9645491678249091
140700,KODEX 보험,금융,35.27754590984975,0.7492085225295514
410870,TIMEFOLIO K컬처액티브,소비재,34.06425293217745,1.138587057207091
463680,KODEX 미국S&P500테크놀로지,미국(지수),29.96062992125985,0.8767675258317853
157490,TIGER 소프트웨어,소프트웨어,29.78524743230626,0.6021809250441706
266410,KODEX 필수소비재,소비재,29.737163814180924,1.2181873859578296
117700,KODEX 건설,건설,28.711307643714456,1.2499647508801237
379810,KODEX 미국나스닥100,미국(지수),28.564022809745993,1.0299322635825894
453660,KODEX 미국S&P500경기소비재,미국(지수),28.148841226428665,0.9451876714628145
140710,KODEX 운송,산업인프라,27.0264723989329,0.7313791077932826
463050,TIMEFOLIO K바이오액티브,바이오,24.813587406793715,0.2764751655429131
241180,TIGER 일본니케이225,일본(지수),24.26194310252281,0.6806906496303061
453650,KODEX 미국S&P500금융,금융,23.9836032524696,1.1428340712830827
251350,KODEX MSCI선진국,글로벌(지수),23.189987630066213,1.1248514351812302
379800,KODEX 미국S&P500,미국(지수),22.399953125915516,0.9869590870534557
488480,RISE 일본섹터TOP4Plus,일본(지수),20.912951167728245,0.5852406409997497
371450,TIGER 글로벌클라우드컴퓨팅INDXX,소프트웨어,19.67725143154606,0.586066141686372
456250,KODEX 유럽명품TOP10 STOXX,소비재,19.557373105605013,0.35939690161265153
441640,KODEX 미국배당커버드콜액티브,미국(지수),18.55773072313225,1.1063897736140813
200030,KODEX 미국S&P500산업재(합성),미국(지수),18.519121236777856,0.9706090544634284
352540,KODEX 일본부동산리츠(H),리츠,16.95137976346912,1.557977227110019
465670,TIGER 미국캐시카우100,미국(지수),16.883676812968872,0.6285566665452236
329670,KODEX TRF7030,한국(지수),16.37856275654739,1.1137005622515543
266390,KODEX 경기소비재,소비재,16.02373887240356,0.6563994347113299
245340,TIGER 미국다우존스30,미국(지수),15.678847296494357,0.7781816516155734
463640,KODEX 미국S&P500유틸리티,미국(지수),14.956943399381316,0.5410185603307033
475350,RISE 버크셔포트폴리오TOP10,금융,13.251426064063176,0.7471419424374959
468380,KODEX iShares미국하이일드액티브,채권,11.587348507242101,1.1108481232728113
460960,ACE 글로벌인컴TOP10 SOLACTIVE,고배당,11.40026023421079,0.7980672261430491
266420,KODEX 헬스케어,바이오,10.467427727608335,-0.019516453461747296
399580,RISE 글로벌클린에너지,친환경,9.272467902995718,0.2858586454053712
474800,KIWOOM 미국원유에너지기업,에너지,8.375805365900568,0.30398935837011615
091180,KODEX 자동차,자동차,6.7611777535441675,0.4727114497827067
218420,KODEX 미국S&P500에너지(합성),에너지,4.8268238761974835,0.27053607193060203
117460,KODEX 에너지화학,에너지,4.657247514390361,-0.5854070458035913
453630,KODEX 미국S&P500필수소비재,미국(지수),2.755155085773686,0.23072879582712
203780,TIGER 미국나스닥바이오,바이오,0.9368263969490975,0.1564897707491625
475380,RISE 글로벌리얼티인컴,리츠,-1.2088974854932322,-0.08050334994293681
479730,TIGER 인도빌리언컨슈머,소비재,-2.1974063400576394,-0.40744283836395667
453810,KODEX 인도Nifty50,글로벌(지수),-2.6401446654611194,-0.3861985419149212
182480,TIGER 미국MSCI리츠(합성 H),리츠,-6.578947368421051,-0.3796586544453961
453640,KODEX 미국S&P500헬스케어,바이오,-7.565685343463125,-0.3332335967771745
477730,KODEX 인도타타그룹,글로벌(지수),-18.14744801512287,-1.1554536514194564
476690,TIGER 글로벌비만치료제TOP2Plus,바이오,-21.14470261056787,-0.6263650273659612
305720,KODEX 2차전지산업,배터리,-27.922780851575656,-0.889402812774932
